Gas.cons	Age.band	Type	Floor.area.band	Loft.depth	Cavity.wall.ins	New.boiler
11900	2	Semi-detached	2	Gr	Y	N
26000	3	Semi-detached	3	Gr	Y	Y
NA	4	Flat	1	NA	N	N
12000	4	Mid-terrace	2	Gr	N	N
15400	2	Semi-detached	3	Gr	Y	Y
7500	3	Flat	1	NA	N	N
7500	3	Semi-detached	2	Gr	Y	N
20000	3	Semi-detached	3	Gr	N	N
NA	2	Flat	2	Gr	Y	N
16500	2	Semi-detached	2	Gr	Y	N
24000	2	Bungalow	3	Gr	Y	N
8000	5	Bungalow	2	Gr	Y	Y
45000	3	Mid-terrace	2	Gr	Y	Y
8700	1	Mid-terrace	2	NA	N	N
14500	2	Mid-terrace	2	Gr	N	Y
4000	2	Flat	1	Gr	N	N
8000	4	Flat	2	NA	Y	Y
17500	6	Semi-detached	2	Gr	Y	N
8500	3	Semi-detached	2	Gr	Y	N
14600	4	Bungalow	2	Gr	N	N
13200	2	Mid-terrace	2	Gr	Y	N
8700	1	Bungalow	2	Gr	N	N
8700	4	Mid-terrace	2	NA	Y	N
13200	2	Semi-detached	2	Gr	Y	Y
15500	1	Mid-terrace	2	Gr	Y	Y
11700	5	End-terrace	3	NA	N	Y
8500	4	Mid-terrace	3	Gr	N	Y
NA	4	Flat	1	NA	Y	N
17000	5	Detached	2	Gr	N	N
4500	2	End-terrace	2	Gr	Y	N
14100	2	Semi-detached	4	Gr	Y	N
NA	4	Flat	1	NA	N	N
5500	2	Semi-detached	3	Gr	Y	N
12600	2	Mid-terrace	2	Gr	N	N
12800	3	Semi-detached	2	Gr	Y	N
15700	1	Semi-detached	3	Le	Y	Y
17000	3	Semi-detached	2	Gr	Y	N
1000	4	Bungalow	2	Gr	N	N
13900	6	Detached	3	Gr	N	N
27000	1	Semi-detached	3	Le	N	N
NA	5	Flat	1	Gr	N	N
11700	3	Semi-detached	2	Gr	Y	N
18500	1	Mid-terrace	3	Le	N	N
10900	4	Flat	1	NA	N	N
25000	6	Detached	3	Gr	N	N
19500	4	Mid-terrace	2	NA	Y	N
4500	3	Flat	2	Gr	N	Y
8300	2	Semi-detached	2	Gr	Y	Y
